focus_variance_of_laplacian,noise_mad_sigma,contrast_spread,entropy,filename,magnification,scope,tile_row,tile_col,tile_top_px,tile_left_px,tile_height_px,tile_width_px,illumination_level,illumination_range_frac,illumination_flag
0.07733208651308363,0.022637084126472473,0.5771725475788116,16.486417155035987,62990661-C-100X.JPG,100,image,-1,-1,0,0,2304,3456,0.5041419267654419,0.21736469864845276,True
0.04691123426029012,0.017011482268571854,0.5236340969800948,15.807296168539953,62990661-C-100X.JPG,100,tile,0,0,0,0,512,512,0.48807352781295776,0.05399283766746521,False
0.06057882038014843,0.019711049273610115,0.5414431393146515,15.80131335123601,62990661-C-100X.JPG,100,tile,0,1,0,512,512,512,0.5007191896438599,0.05411696061491966,False
0.07669759879571544,0.022684141993522644,0.548917680978775,15.760816766536445,62990661-C-100X.JPG,100,tile,0,2,0,1024,512,512,0.5114828944206238,0.027371658012270927,False
0.08667173277874946,0.02383270673453808,0.5687550976872444,15.69762116618074,62990661-C-100X.JPG,100,tile,0,3,0,1536,512,512,0.5127624273300171,0.028219828382134438,False
0.08971845165971415,0.025397272780537605,0.5886784344911575,15.9239182937551,62990661-C-100X.JPG,100,tile,0,4,0,2048,512,512,0.5154727697372437,0.025755271315574646,False
0.07057182104534962,0.02129928581416607,0.5978464245796202,15.910318902480206,62990661-C-100X.JPG,100,tile,0,5,0,2560,512,512,0.530966579914093,0.042562320828437805,False
0.05360260562718083,0.019208334386348724,0.5874966524541378,15.906910824005633,62990661-C-100X.JPG,100,tile,0,6,0,3072,512,384,0.5368761420249939,0.07055424898862839,False
0.06621321669220517,0.020156100392341614,0.5422117859125137,15.872365323086042,62990661-C-100X.JPG,100,tile,1,0,512,0,512,512,0.48129600286483765,0.019556893035769463,False
0.08200212398254876,0.023514045402407646,0.5440627485513687,15.708103609849253,62990661-C-100X.JPG,100,tile,1,1,512,512,512,512,0.4985024333000183,0.0389421209692955,False
0.08561945028487303,0.023810701444745064,0.5324739575386046,15.338857775496905,62990661-C-100X.JPG,100,tile,1,2,512,1024,512,512,0.5195211172103882,0.023725058883428574,False
0.11108181010832296,0.027939628809690475,0.5466823428869247,15.166911601373304,62990661-C-100X.JPG,100,tile,1,3,512,1536,512,512,0.5236648321151733,0.014115912839770317,False
0.10974839843158318,0.0274191964417696,0.5782078951597214,15.503228917095363,62990661-C-100X.JPG,100,tile,1,4,512,2048,512,512,0.5242511034011841,0.009954910725355148,False
0.08276841657121739,0.02382420003414154,0.5953249096870422,15.907292188652942,62990661-C-100X.JPG,100,tile,1,5,512,2560,512,512,0.5269065499305725,0.02155476063489914,False
0.05751289353553419,0.01961812749505043,0.582572603970766,15.843372570674575,62990661-C-100X.JPG,100,tile,1,6,512,3072,512,384,0.5379858613014221,0.013502216897904873,False
0.06774197707722548,0.020778799429535866,0.541713759303093,15.96156275922359,62990661-C-100X.JPG,100,tile,2,0,1024,0,512,512,0.4638795256614685,0.048616163432598114,False
0.09224572333835912,0.024730036035180092,0.5644649296998975,15.750114166945313,62990661-C-100X.JPG,100,tile,2,1,1024,512,512,512,0.48526567220687866,0.055795878171920776,False
0.10993755703028388,0.027378391474485397,0.5518850699067116,15.263441817403637,62990661-C-100X.JPG,100,tile,2,2,1024,1024,512,512,0.5099979639053345,0.040081869810819626,False
0.11908251827508787,0.02815905027091503,0.5445400021970273,14.805098640096212,62990661-C-100X.JPG,100,tile,2,3,1024,1536,512,512,0.5231475234031677,0.032035309821367264,False
0.11327411807273512,0.02850211411714554,0.5773764848709106,15.394758401390403,62990661-C-100X.JPG,100,tile,2,4,1024,2048,512,512,0.5190913081169128,0.02306775189936161,False
0.087082767164898,0.025094186887145042,0.5958666801452637,15.912674868706839,62990661-C-100X.JPG,100,tile,2,5,1024,2560,512,512,0.5212382078170776,0.03225385397672653,False
0.05045615384970017,0.018690796568989754,0.5765580363571643,15.895560184930527,62990661-C-100X.JPG,100,tile,2,6,1024,3072,512,384,0.5348812341690063,0.017786961048841476,False
0.06230255858857135,0.021412763744592667,0.5464498244225979,16.07681064991269,62990661-C-100X.JPG,100,tile,3,0,1536,0,512,512,0.4396740794181824,0.05829409882426262,False
0.08054033024351975,0.02409903146326542,0.5730706006288528,15.95995442152025,62990661-C-100X.JPG,100,tile,3,1,1536,512,512,512,0.46836230158805847,0.04753073304891586,False
0.10695480901693724,0.029238710179924965,0.5807725638151169,15.861993486287703,62990661-C-100X.JPG,100,tile,3,2,1536,1024,512,512,0.4827337861061096,0.04142576828598976,False
0.10077712385030071,0.02759644389152527,0.5764990113675592,15.700668737899276,62990661-C-100X.JPG,100,tile,3,3,1536,1536,512,512,0.49104389548301697,0.050081539899110794,False
0.0843154086250286,0.02450796216726303,0.5853098034858704,15.745097217559051,62990661-C-100X.JPG,100,tile,3,4,1536,2048,512,512,0.5056581497192383,0.03019867278635502,False
0.058706495091504204,0.02064763568341732,0.5714015528559683,15.996824720043904,62990661-C-100X.JPG,100,tile,3,5,1536,2560,512,512,0.5189206600189209,0.03049609623849392,False
0.03605324936463405,0.01592683047056198,0.5444980710744858,15.840521128867302,62990661-C-100X.JPG,100,tile,3,6,1536,3072,512,384,0.5421900749206543,0.05104096606373787,False
0.05057409204064953,0.019260959699749947,0.534125129878521,15.659690945508098,62990661-C-100X.JPG,100,tile,4,0,2048,0,256,512,0.4448145627975464,0.046612728387117386,False
0.06300646409710405,0.021245945245027542,0.5727726072072983,15.697601625922372,62990661-C-100X.JPG,100,tile,4,1,2048,512,256,512,0.46151450276374817,0.033631905913352966,False
0.07643230202955922,0.024158062413334846,0.5729333013296127,15.650177816910379,62990661-C-100X.JPG,100,tile,4,2,2048,1024,256,512,0.4709949493408203,0.014320096001029015,False
0.0701219743592423,0.02387726679444313,0.5729978583753109,15.71330218079318,62990661-C-100X.JPG,100,tile,4,3,2048,1536,256,512,0.4701422452926636,0.031486473977565765,False
0.05739843278538085,0.021387645974755287,0.5730209805071353,15.725669745983414,62990661-C-100X.JPG,100,tile,4,4,2048,2048,256,512,0.49517011642456055,0.0524556040763855,False
0.03982795695877638,0.017939520999789238,0.5530231401324273,15.801914114158045,62990661-C-100X.JPG,100,tile,4,5,2048,2560,256,512,0.517440140247345,0.02839827537536621,False
0.026962119981311622,0.014311473816633224,0.5320413805544376,15.562733564441835,62990661-C-100X.JPG,100,tile,4,6,2048,3072,256,384,0.5511729121208191,0.08349980413913727,False
0.015039039886111848,0.025213850662112236,0.5390431582927704,15.835272588460667,62990661-C-200X.JPG,200,image,-1,-1,0,0,2304,3456,0.4933723509311676,0.11109945178031921,True
0.013667957995266034,0.022685864940285683,0.5065411776304245,15.34281241243119,62990661-C-200X.JPG,200,tile,0,0,0,0,512,512,0.5054553747177124,0.038943152874708176,False
0.016064837638163916,0.026278773322701454,0.5324823707342148,15.320413002736192,62990661-C-200X.JPG,200,tile,0,1,0,512,512,512,0.5036423802375793,0.02934093587100506,False
0.01853106136835366,0.02687201090157032,0.5349752619862557,15.11791860764736,62990661-C-200X.JPG,200,tile,0,2,0,1024,512,512,0.5022065043449402,0.01892908662557602,False
0.018961779059843892,0.02842756360769272,0.5487725414335728,15.256215295613378,62990661-C-200X.JPG,200,tile,0,3,0,1536,512,512,0.49602657556533813,0.011445175856351852,False
0.0176303771057586,0.02776799164712429,0.5487490594387054,15.195943920736362,62990661-C-200X.JPG,200,tile,0,4,0,2048,512,512,0.4989689588546753,0.014989734627306461,False
0.013514569997845633,0.024403244256973267,0.5483333319425583,15.267732210211298,62990661-C-200X.JPG,200,tile,0,5,0,2560,512,512,0.5094579458236694,0.01748206838965416,False
0.010682622560180191,0.022161874920129776,0.5473294109106064,15.34830159193845,62990661-C-200X.JPG,200,tile,0,6,0,3072,512,384,0.5220970511436462,0.02762800268828869,False
0.01588091323717008,0.025757843628525734,0.5254470556974411,15.25612884413209,62990661-C-200X.JPG,200,tile,1,0,512,0,512,512,0.48357492685317993,0.029784070327878,False
0.018614044171597614,0.029333574697375298,0.5443450659513474,15.089961920316826,62990661-C-200X.JPG,200,tile,1,1,512,512,512,512,0.48771998286247253,0.02372274547815323,False
0.02383217256924818,0.029882904142141342,0.5249412208795547,14.581068744834251,62990661-C-200X.JPG,200,tile,1,2,512,1024,512,512,0.5009571313858032,0.016642436385154724,False
0.025252614482782893,0.03339668735861778,0.5346587747335434,14.44075409503063,62990661-C-200X.JPG,200,tile,1,3,512,1536,512,512,0.506726086139679,0.012596836313605309,False
0.020679107841699046,0.0325024276971817,0.5508313775062561,15.038952233288294,62990661-C-200X.JPG,200,tile,1,4,512,2048,512,512,0.5075265765190125,0.01236298680305481,False
0.013863524985492665,0.026488905772566795,0.5442739211022853,15.242925759756659,62990661-C-200X.JPG,200,tile,1,5,512,2560,512,512,0.5093184113502502,0.0086566973477602,False
0.0107813828324072,0.023096563294529915,0.5298888579010963,15.261680497365258,62990661-C-200X.JPG,200,tile,1,6,512,3072,512,384,0.5162470936775208,0.013061260804533958,False
0.01445454856898408,0.02491835132241249,0.5184100009500979,15.288876628072291,62990661-C-200X.JPG,200,tile,2,0,1024,0,512,512,0.46458759903907776,0.03350476920604706,False
0.02009129105898677,0.032470040023326874,0.5382549166679382,15.15196629441428,62990661-C-200X.JPG,200,tile,2,1,1024,512,512,512,0.47779107093811035,0.02974119782447815,False
0.025082786400098096,0.03368578851222992,0.5372666269540787,14.347847761837363,62990661-C-200X.JPG,200,tile,2,2,1024,1024,512,512,0.4945380687713623,0.030328214168548584,False
0.024157581517934824,0.0323646143078804,0.5178745090961456,13.844286487478156,62990661-C-200X.JPG,200,tile,2,3,1024,1536,512,512,0.5062682628631592,0.019074179232120514,False
0.017033416167943915,0.02719360962510109,0.5273798190057277,14.298864789296651,62990661-C-200X.JPG,200,tile,2,4,1024,2048,512,512,0.5076367259025574,0.012237480841577053,False
0.012343915099301186,0.025143640115857124,0.5399803966283798,15.06599625900514,62990661-C-200X.JPG,200,tile,2,5,1024,2560,512,512,0.5062990188598633,0.011111137457191944,False
0.008748160448002895,0.019844144582748413,0.5331568866968155,15.120939341365137,62990661-C-200X.JPG,200,tile,2,6,1024,3072,512,384,0.5112550854682922,0.015049638226628304,False
0.011937147863006549,0.021859319880604744,0.5052391886711121,15.061714618229571,62990661-C-200X.JPG,200,tile,3,0,1536,0,512,512,0.4516791105270386,0.030396796762943268,False
0.014121375937405414,0.02578638680279255,0.5261882394552231,14.870560753914772,62990661-C-200X.JPG,200,tile,3,1,1536,512,512,512,0.4672325849533081,0.021251076832413673,False
0.017106497369506382,0.029468338936567307,0.5329058766365051,14.608972284911431,62990661-C-200X.JPG,200,tile,3,2,1536,1024,512,512,0.48091593384742737,0.028724869713187218,False
0.015507462144089882,0.027926351875066757,0.5262041218578815,14.430475201803171,62990661-C-200X.JPG,200,tile,3,3,1536,1536,512,512,0.49026423692703247,0.023204050958156586,False
0.012894661384214186,0.02499227412045002,0.5290145121514798,14.826670404014,62990661-C-200X.JPG,200,tile,3,4,1536,2048,512,512,0.4923006296157837,0.02351801097393036,False
0.00898634575271226,0.020333370193839073,0.5244392156600952,15.10745533693064,62990661-C-200X.JPG,200,tile,3,5,1536,2560,512,512,0.497656911611557,0.019914204254746437,False
0.0075348948246930685,0.01735791377723217,0.519658774137497,15.162847841496925,62990661-C-200X.JPG,200,tile,3,6,1536,3072,512,384,0.5026988983154297,0.01962130144238472,False
0.010343828153229448,0.02063681185245514,0.5121396221220493,14.736455906513516,62990661-C-200X.JPG,200,tile,4,0,2048,0,256,512,0.4544207453727722,0.028326310217380524,False
0.01140348264022652,0.02562950924038887,0.5020314306020737,15.196844456660003,62990661-C-200X.JPG,200,tile,4,1,2048,512,256,512,0.464188814163208,0.009244990535080433,False
0.011292001003573568,0.023468777537345886,0.5187882483005524,14.726998664707741,62990661-C-200X.JPG,200,tile,4,2,2048,1024,256,512,0.47422322630882263,0.015736186876893044,False
0.010100825730015976,0.02072007767856121,0.4870941638946533,14.559990716474303,62990661-C-200X.JPG,200,tile,4,3,2048,1536,256,512,0.4772990942001343,0.016203690320253372,False
0.00817782512045388,0.018949145451188087,0.49364708364009857,14.991945880079502,62990661-C-200X.JPG,200,tile,4,4,2048,2048,256,512,0.47553551197052,0.0218107458204031,False
0.007272415095841483,0.016950109973549843,0.4834645226597786,15.025169620469473,62990661-C-200X.JPG,200,tile,4,5,2048,2560,256,512,0.4863590598106384,0.02146308124065399,False
0.0067323850358907145,0.014319240115582943,0.4897602409124374,14.910332218550352,62990661-C-200X.JPG,200,tile,4,6,2048,3072,256,384,0.4858609437942505,0.026922227814793587,False
0.04610514734630153,0.017046719789505005,0.5576549023389816,16.351610366711828,62990661-R-100X.JPG,100,image,-1,-1,0,0,2304,3456,0.517100989818573,0.23203425109386444,True
0.050126183748024994,0.01911088451743126,0.5589186236262319,16.005725519563704,62990661-R-100X.JPG,100,tile,0,0,0,0,512,512,0.47737181186676025,0.06028294935822487,False
0.06924385131115961,0.023223550990223885,0.5803858987987038,16.051651437634703,62990661-R-100X.JPG,100,tile,0,1,0,512,512,512,0.48155972361564636,0.015539214015007019,False
0.08024202212253996,0.024960415437817574,0.5928588211536407,15.927186586191688,62990661-R-100X.JPG,100,tile,0,2,0,1024,512,512,0.4857584834098816,0.020100818946957588,False
0.07139211067659541,0.023494316264986992,0.5815725177526474,15.873392778551514,62990661-R-100X.JPG,100,tile,0,3,0,1536,512,512,0.4921119213104248,0.048200298100709915,False
0.05088573021516613,0.01984196901321411,0.5702392160892487,15.865608249591554,62990661-R-100X.JPG,100,tile,0,4,0,2048,512,512,0.510276734828949,0.06292809545993805,False
0.03337804796206843,0.01591275818645954,0.5467360675334929,15.92293841241475,62990661-R-100X.JPG,100,tile,0,5,0,2560,512,512,0.52836674451828,0.027218589559197426,False
0.021336104085427025,0.012925569899380207,0.5207647234201431,15.861576987547256,62990661-R-100X.JPG,100,tile,0,6,0,3072,512,384,0.5263888835906982,0.0805719643831253,False
0.05149453159728755,0.019301442429423332,0.557286262512207,15.919886921864983,62990661-R-100X.JPG,100,tile,1,0,512,0,512,512,0.48244524002075195,0.0343577042222023,False
0.07522640586217705,0.023297980427742004,0.5807176381349564,15.70621151954446,62990661-R-100X.JPG,100,tile,1,1,512,512,512,512,0.491018682718277,0.02060132473707199,False
0.09410420428487778,0.026015331968665123,0.5798313915729523,15.322271223587093,62990661-R-100X.JPG,100,tile,1,2,512,1024,512,512,0.5049854516983032,0.04292536899447441,False
0.08828567103875198,0.026554696261882782,0.5658352673053741,15.139577342116308,62990661-R-100X.JPG,100,tile,1,3,512,1536,512,512,0.5159851908683777,0.04842599853873253,False
0.055319477981574695,0.020970705896615982,0.5603068858385085,15.465379269223998,62990661-R-100X.JPG,100,tile,1,4,512,2048,512,512,0.5187681913375854,0.023629017174243927,False
0.03037577170614157,0.015735477209091187,0.5482431650161743,15.940967379294568,62990661-R-100X.JPG,100,tile,1,5,512,2560,512,512,0.5216771960258484,0.02291519194841385,False
0.01928298956898932,0.012592128477990627,0.5200827509164809,15.893953288671254,62990661-R-100X.JPG,100,tile,1,6,512,3072,512,384,0.5349798798561096,0.012745252810418606,False
0.044869717708248213,0.0189029723405838,0.5487059205770493,15.996653068988728,62990661-R-100X.JPG,100,tile,2,0,1024,0,512,512,0.4776548743247986,0.028247497975826263,False
